n,# test_cases,ave_time(entire),ave_time(prepare)
1,162,0.016923117048946428,2.2651236734272522e-05
2,324,0.03696979961277526,7.613441090524932e-05
3,648,0.08069466323028376,0.00020758899641625675
4,1296,0.17716712480709879,0.0005075562147446621
5,2592,0.376990775708799,0.001164089897532522
6,5184,0.8142166331962303,0.002673100542139124
