n,# test_cases,ave_time(entire),ave_time(prepare)
1,50,0.012273189067840575,2.3046016693115236e-05
2,100,0.02689762449264526,7.863998413085938e-05
3,200,0.05888346529006958,0.00021309423446655272
4,400,0.12599767923355104,0.00051826810836792
5,800,0.26847492599487305,0.0011965608596801757
6,1600,0.5660698647499085,0.0026708135604858398
