test_suite,# test_cases,ave_fault
T0,162,0.44598765432098764
T1,162,0.8234567901234568
T2,162,0.9160493827160494
T3,162,0.9419753086419753
T4,81,0.29876543209876544
T5,81,0.5641975308641975
T6,81,0.6617283950617284
T7,81,0.7203703703703703
