test_suite,# test_cases,ave_fault
T0,162,0.3453703703703704
T1,162,0.5052469135802469
T2,162,0.5141975308641975
T3,162,0.5231481481481481
T4,81,0.47098765432098766
T5,81,0.4537037037037037
T6,81,0.3808641975308642
T7,81,0.3771604938271605
