n,# test_cases,ave_time(entire),ave_time(prepare)
1,2,0.004878991842269897,6.416440010070801e-05
2,2,0.005695551633834839,9.509921073913574e-05
3,2,0.006636130809783936,0.00012357234954833983
4,2,0.008232408761978149,0.00014784932136535645
5,2,0.010916268825531006,0.0001809835433959961
6,2,0.016225373744964598,0.00020064711570739747
