n,# test_cases,ave_time(entire),ave_time(prepare)
1,44,0.008652630177411167,2.090497450395064e-05
2,88,0.02053833712231029,7.262825965881348e-05
3,176,0.05469577312469483,0.0001987977461381392
4,352,0.13674680644815618,0.0004906334660269997
5,704,0.3307804535735737,0.0011348811062899503
6,1408,0.7855480031533675,0.0025924758477644484
