test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,50,0.017070672035217286
T3,bits,50,0.01706765079498291
T0,qubits,50,0.017602755546569822
T3,qubits,50,0.017628689765930176
T1,bits,25,0.008974296569824219
T2,bits,25,0.008974950790405273
T4,bits,25,0.010642096519470215
T5,bits,25,0.022889089107513427
T1,qubits,25,0.007107069492340088
T2,qubits,25,0.007194691658020019
T4,qubits,25,0.008167831420898438
T5,qubits,25,0.015928292751312256
T6 sep,bits,50,0.02329372692108154
T6 sep,qubits,50,0.018333910942077637
T6 ent,bits,50,0.02641765213012695
T6 ent,qubits,50,0.019989370822906492
