test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,50,0.016696133613586427
T3,bits,50,0.01662539768218994
T0,qubits,50,0.017200736999511718
T3,qubits,50,0.017156105995178222
T1,bits,25,0.008857743263244629
T2,bits,25,0.009096332550048828
T4,bits,25,0.011040299892425536
T5,bits,25,0.02464502239227295
T1,qubits,25,0.006954543113708496
T2,qubits,25,0.007047741889953612
T4,qubits,25,0.008201654434204102
T5,qubits,25,0.015898483276367188
T6 sep,bits,50,0.021765092372894288
T6 sep,qubits,50,0.01738050985336304
T6 ent,bits,50,0.024757200241088868
T6 ent,qubits,50,0.020254734516143798
