test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,50,0.017102766513824464
T3,bits,50,0.017064300060272215
T0,qubits,50,0.017263834953308105
T3,qubits,50,0.01730898714065552
T1,bits,25,0.00885622501373291
T2,bits,25,0.00897279977798462
T4,bits,25,0.011020047664642334
T5,bits,25,0.024301742553710936
T1,qubits,25,0.006980938434600831
T2,qubits,25,0.007070350170135497
T4,qubits,25,0.008378351211547851
T5,qubits,25,0.01629942464828491
T6 sep,bits,50,0.021455018520355223
T6 sep,qubits,50,0.017607911109924317
T6 ent,bits,50,0.025023066043853757
T6 ent,qubits,50,0.020056160926818847
