test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,250,0.020306163501739503
T3,bits,250,0.020308128929138185
T0,qubits,250,0.020745554542541504
T3,qubits,250,0.020695305633544922
T1,bits,125,0.01096717643737793
T2,bits,125,0.011070568656921386
T4,bits,125,0.013540658855438231
T5,bits,125,0.027092715454101562
T1,qubits,125,0.008405709743499756
T2,qubits,125,0.008546104049682616
T4,qubits,125,0.010184228134155274
T5,qubits,125,0.018187063026428224
T6 sep,bits,250,0.0270535943031311
T6 sep,qubits,250,0.021384214401245116
T6 ent,bits,250,0.025006758689880372
T6 ent,qubits,250,0.017897014331817625
