test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,250,0.020302340793609618
T3,bits,250,0.020385874462127685
T0,qubits,250,0.020701636791229248
T3,qubits,250,0.020701898479461668
T1,bits,125,0.011077758693695068
T2,bits,125,0.011119447135925293
T4,bits,125,0.013532414436340331
T5,bits,125,0.027078188133239745
T1,qubits,125,0.008278087520599366
T2,qubits,125,0.00837790937423706
T4,qubits,125,0.009948419666290283
T5,qubits,125,0.017895256996154785
T6 sep,bits,250,0.027060009193420408
T6 sep,qubits,250,0.021970990467071533
T6 ent,bits,250,0.024982252597808837
T6 ent,qubits,250,0.017699269104003906
