test_suite,# test_cases,ave_fault
T0,162,0.7666666666666667
T1,162,0.8098765432098766
T2,162,0.8101851851851851
T3,162,0.7759259259259259
T4,81,0.6728395061728395
T5,81,0.6493827160493828
T6,81,0.6148148148148148
T7,81,0.6006172839506172
