test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,162,0.024118693816809006
T3,bits,162,0.024158171959865242
T0,qubits,162,0.02430685434812381
T3,qubits,162,0.024213103894834165
T1,bits,81,0.01261138548085719
T2,bits,81,0.012785682854829011
T4,bits,81,0.013957374037047962
T5,bits,81,0.024744762756206372
T1,qubits,81,0.010140193097385359
T2,qubits,81,0.010297234705936761
T4,qubits,81,0.01124844021267361
T5,qubits,81,0.019305003425221384
T6 sep,bits,162,0.03535557249445974
T6 sep,qubits,162,0.026213554982785825
T6 ent,bits,162,0.03750831448001626
T6 ent,qubits,162,0.02861502096976763
