n,# test_cases,ave_time(entire),ave_time(prepare)
1,50,0.011195761680603027,2.2170543670654296e-05
2,100,0.024390392303466797,7.600021362304687e-05
3,200,0.05285964632034301,0.000206024169921875
4,400,0.11628180837631226,0.0005127129554748536
5,800,0.24656995820999145,0.0011845860481262207
6,1600,0.5239888563156128,0.0026416311264038086
