shots,ave_time,faults
8,0.040749586,0.22
16,0.040149636,0.33
24,0.050088859,0.405
32,0.052111623,0.43
40,0.053220103,0.445
48,0.065703349,0.445
56,0.06511368,0.43
64,0.074045193,0.42
72,0.078636563,0.415
80,0.079993048,0.43
88,0.091129758,0.425
96,0.092076154,0.435
104,0.100802891,0.445
112,0.110427079,0.435
120,0.113146513,0.425
128,0.124639759,0.45
136,0.126588092,0.42
144,0.136164005,0.41
152,0.139906681,0.41
160,0.143110347,0.43
168,0.153156312,0.42
176,0.156366577,0.43
184,0.164219346,0.43
192,0.169908991,0.44
200,0.172810643,0.425
208,0.182822497,0.42
216,0.185669332,0.43
224,0.194098327,0.42
232,0.199231541,0.42
240,0.202161272,0.44
248,0.21150852,0.44
256,0.215715818,0.435
264,0.223538873,0.42
272,0.22922642,0.415
280,0.231751435,0.425
288,0.242149291,0.42
296,0.245441873,0.455
304,0.253909621,0.445
312,0.259120698,0.41
320,0.261532869,0.44
328,0.271322577,0.435
336,0.275051525,0.42
344,0.283111067,0.425
352,0.287615497,0.43
360,0.29200866,0.44
368,0.301065438,0.405
376,0.304233141,0.43
384,0.311359344,0.44
392,0.317525916,0.42
400,0.320419989,0.43
408,0.330153456,0.44
416,0.333417213,0.425
424,0.34121856,0.415
432,0.347472024,0.435
440,0.350083673,0.425
448,0.359579334,0.445
456,0.363526747,0.43
464,0.371578858,0.425
472,0.37628897,0.42
480,0.37959343,0.43
488,0.388856273,0.42
496,0.393256173,0.435
504,0.400352607,0.425
512,0.405384214,0.42
520,0.409619937,0.44
528,0.418924241,0.425
536,0.422059109,0.43
544,0.431071975,0.405
552,0.435123608,0.44
560,0.438954847,0.425
568,0.447187014,0.415
576,0.451615856,0.425
584,0.459490454,0.445
592,0.46489501,0.45
600,0.468520048,0.415
608,0.47746716,0.43
616,0.481486936,0.415
624,0.490438902,0.42
632,0.493825171,0.41
640,0.497479992,0.435
648,0.506845458,0.415
656,0.511229768,0.445
664,0.518004026,0.44
672,0.524011395,0.44
680,0.527842081,0.425
688,0.53507354,0.43
696,0.540220392,0.415
704,0.547224565,0.42
712,0.553570969,0.42
720,0.5563147,0.43
728,0.565750091,0.425
736,0.570103452,0.45
744,0.577348495,0.42
752,0.582855833,0.45
760,0.586513522,0.43
768,0.595633605,0.455
776,0.599301536,0.43
784,0.606695919,0.42
792,0.61202322,0.425
800,0.616650922,0.44
808,0.625864425,0.43
816,0.629366777,0.435
824,0.641159818,0.425
832,0.642855618,0.43
840,0.645826662,0.425
848,0.654093404,0.41
856,0.658452272,0.42
864,0.665123284,0.435
872,0.670466411,0.42
880,0.675581868,0.415
888,0.68396317,0.435
896,0.688225272,0.42
904,0.695295341,0.42
912,0.700395749,0.425
920,0.704411283,0.42
928,0.712717106,0.42
936,0.718097916,0.45
944,0.724051676,0.415
952,0.730284822,0.45
960,0.733819783,0.445
968,0.743877444,0.435
976,0.747511067,0.425
984,0.754222918,0.435
992,0.759238861,0.445
1000,0.764068458,0.415
1008,0.770567687,0.425
1016,0.775043683,0.435
1024,0.782870603,0.43
