shots,ave_time,faults
8,0.284816799,0.087144886
16,0.282106299,0.134375
24,0.282445029,0.136363636
32,0.284362397,0.136363636
40,0.283987366,0.136363636
48,0.284078176,0.136363636
56,0.28825205,0.136363636
64,0.2913772,0.136363636
72,0.287654899,0.136363636
80,0.286136543,0.136363636
88,0.286944578,0.136363636
96,0.291122004,0.136363636
104,0.291697014,0.136363636
112,0.292649839,0.136363636
120,0.292380396,0.136363636
128,0.295744529,0.136363636
136,0.296323878,0.136363636
144,0.294130927,0.136363636
152,0.289741338,0.136363636
160,0.290441797,0.136363636
168,0.291898345,0.136363636
176,0.293969076,0.136363636
184,0.294978121,0.136363636
192,0.295768861,0.136363636
200,0.296717558,0.136363636
208,0.297433989,0.136363636
216,0.297773266,0.136363636
224,0.298442448,0.136363636
232,0.300731532,0.136363636
240,0.302341724,0.136363636
248,0.301407108,0.136363636
256,0.302559102,0.136363636
264,0.301844285,0.136363636
272,0.299371568,0.136363636
280,0.300042438,0.136363636
288,0.298213806,0.136363636
296,0.296334095,0.136363636
304,0.297521042,0.136363636
312,0.297384448,0.136363636
320,0.297729486,0.136363636
328,0.298202833,0.136363636
336,0.298906564,0.136363636
344,0.300637414,0.136363636
352,0.305387264,0.136363636
360,0.309367161,0.136363636
368,0.309478093,0.136363636
376,0.309558691,0.136363636
384,0.302627436,0.136363636
392,0.305232905,0.136363636
400,0.310021175,0.136363636
408,0.303558671,0.136363636
416,0.304566112,0.136363636
424,0.308695211,0.136363636
432,0.307437618,0.136363636
440,0.307240048,0.136363636
448,0.306619363,0.136363636
456,0.308679166,0.136363636
464,0.308606187,0.136363636
472,0.3106602,0.136363636
480,0.311432144,0.136363636
488,0.310114161,0.136363636
496,0.313545187,0.136363636
504,0.313320282,0.136363636
512,0.314313373,0.136363636
520,0.310089298,0.136363636
528,0.312115148,0.136363636
536,0.312037335,0.136363636
544,0.313743507,0.136363636
552,0.312721556,0.136363636
560,0.310869134,0.136363636
568,0.312499102,0.136363636
576,0.315141947,0.136363636
584,0.314567739,0.136363636
592,0.312790813,0.136363636
600,0.314016137,0.136363636
608,0.314414625,0.136363636
616,0.314648739,0.136363636
624,0.321588869,0.136363636
632,0.323914817,0.136363636
640,0.325614,0.136363636
648,0.325644725,0.136363636
656,0.322419916,0.136363636
664,0.325444989,0.136363636
672,0.326126755,0.136363636
680,0.325975927,0.136363636
688,0.327261334,0.136363636
696,0.327211374,0.136363636
704,0.327974532,0.136363636
712,0.328582488,0.136363636
720,0.324559308,0.136363636
728,0.32021745,0.136363636
736,0.322115777,0.136363636
744,0.322182044,0.136363636
752,0.321917874,0.136363636
760,0.324161498,0.136363636
768,0.328602093,0.136363636
776,0.325612259,0.136363636
784,0.324615625,0.136363636
792,0.327589411,0.136363636
800,0.327665589,0.136363636
808,0.325759229,0.136363636
816,0.325699894,0.136363636
824,0.327305756,0.136363636
832,0.330214912,0.136363636
840,0.33214784,0.136363636
848,0.331919796,0.136363636
856,0.332261139,0.136363636
864,0.332003419,0.136363636
872,0.332475807,0.136363636
880,0.333627466,0.136363636
888,0.33664315,0.136363636
896,0.32899102,0.136363636
904,0.330578788,0.136363636
912,0.335235419,0.136363636
920,0.336589094,0.136363636
928,0.338274807,0.136363636
936,0.33695299,0.136363636
944,0.337489044,0.136363636
952,0.337502372,0.136363636
960,0.335651948,0.136363636
968,0.334254265,0.136363636
976,0.33533483,0.136363636
984,0.335992667,0.136363636
992,0.335962605,0.136363636
1000,0.33609099,0.136363636
1008,0.34018207,0.136363636
1016,0.34027729,0.136363636
1024,0.336857887,0.136363636
