shots,ave_time,faults
8,0.009366852045059205,0.0
16,0.009216463565826416,0.05
24,0.009641546010971069,0.125
32,0.009234166145324707,0.075
40,0.009271568059921265,0.1
48,0.009350419044494629,0.025
56,0.009323614835739135,0.025
64,0.009386575222015381,0.025
72,0.009685415029525756,0.0
80,0.009322643280029297,0.05
88,0.009337508678436279,0.0
96,0.009396743774414063,0.05
104,0.00947873592376709,0.0
112,0.009483981132507324,0.025
120,0.009499585628509522,0.0
128,0.009728813171386718,0.025
136,0.009510797262191773,0.05
144,0.009587669372558593,0.05
152,0.009570902585983277,0.025
160,0.009597074985504151,0.05
168,0.009520763158798217,0.025
176,0.009925907850265503,0.025
184,0.009599930047988892,0.05
192,0.009653991460800171,0.05
200,0.009612441062927246,0.1
208,0.009678494930267335,0.05
216,0.009641015529632568,0.075
224,0.009934866428375244,0.05
232,0.009678292274475097,0.025
240,0.009654128551483154,0.025
248,0.00979328751564026,0.025
256,0.009845602512359618,0.025
264,0.009766072034835815,0.025
272,0.00978926420211792,0.1
280,0.010070610046386718,0.175
288,0.009836077690124512,0.075
296,0.009825116395950318,0.025
304,0.009878545999526978,0.1
312,0.009901684522628785,0.05
320,0.00982843041419983,0.025
328,0.010115420818328858,0.05
336,0.009928172826766968,0.0
344,0.00991324782371521,0.075
352,0.009913063049316407,0.1
360,0.00995740294456482,0.05
368,0.010034310817718505,0.05
376,0.01034807562828064,0.025
384,0.010011982917785645,0.025
392,0.010020750761032104,0.05
400,0.010065984725952149,0.125
408,0.009984952211380006,0.125
416,0.010054701566696167,0.025
424,0.010122168064117431,0.025
432,0.010339921712875367,0.0
440,0.01003301739692688,0.05
448,0.01010417342185974,0.075
456,0.010134661197662353,0.075
464,0.010204094648361205,0.0
472,0.010160326957702637,0.025
480,0.010504937171936036,0.05
488,0.010193300247192384,0.025
496,0.010183489322662354,0.05
504,0.010241752862930298,0.05
512,0.010238003730773926,0.05
520,0.010210001468658447,0.05
528,0.01062544584274292,0.025
536,0.010234194993972778,0.075
544,0.010272979736328125,0.025
552,0.010353565216064453,0.025
560,0.01031637191772461,0.025
568,0.010298210382461547,0.075
576,0.010724741220474242,0.075
584,0.010355627536773682,0.05
592,0.01033865213394165,0.075
600,0.010398513078689576,0.025
608,0.010430490970611573,0.025
616,0.010442471504211426,0.05
624,0.010493218898773193,0.125
632,0.010803818702697754,0.1
640,0.010593122243881226,0.025
648,0.01058705449104309,0.075
656,0.010591918230056762,0.025
664,0.010585516691207886,0.025
672,0.01063418984413147,0.05
680,0.010904324054718018,0.075
688,0.01060507893562317,0.05
696,0.010682761669158936,0.075
704,0.010589337348937989,0.0
712,0.010617941617965698,0.05
720,0.010638606548309327,0.075
728,0.010962045192718506,0.05
736,0.010648131370544434,0.025
744,0.010664641857147217,0.025
752,0.010679852962493897,0.075
760,0.010717821121215821,0.075
768,0.010757064819335938,0.075
776,0.010693490505218506,0.025
784,0.011115002632141113,0.0
792,0.010813599824905396,0.075
800,0.010831183195114136,0.025
808,0.01085193157196045,0.05
816,0.010842853784561157,0.05
824,0.010923099517822266,0.025
832,0.011162084341049195,0.025
840,0.010857993364334106,0.1
848,0.010918116569519043,0.0
856,0.010878074169158935,0.05
864,0.011022824048995971,0.025
872,0.010967487096786499,0.025
880,0.011311691999435425,0.05
888,0.010935091972351074,0.05
896,0.01099655032157898,0.075
904,0.0110917329788208,0.05
912,0.011001133918762207,0.075
920,0.011089462041854858,0.1
928,0.011002975702285766,0.025
936,0.011350828409194946,0.025
944,0.011193662881851196,0.1
952,0.011114037036895752,0.075
960,0.011166983842849731,0.075
968,0.011139321327209472,0.05
976,0.011147892475128174,0.025
984,0.011479181051254273,0.075
992,0.01113274097442627,0.075
1000,0.011278939247131348,0.05
1008,0.011169594526290894,0.1
1016,0.011251193284988404,0.025
1024,0.011292290687561036,0.05
