shots,ave_time,faults
8,0.025924521684646606,0.0375
16,0.024232667684555054,0.0625
24,0.02460395097732544,0.0625
32,0.024970853328704835,0.025
40,0.025252604484558107,0.025
48,0.02597993016242981,0.05
56,0.02611536979675293,0.0625
64,0.027833807468414306,0.05
72,0.025782930850982665,0.0125
80,0.025764375925064087,0.075
88,0.026301145553588867,0.0625
96,0.026084768772125243,0.1
104,0.026215970516204834,0.0375
112,0.026244187355041505,0.0875
120,0.025858139991760253,0.0875
128,0.027161920070648195,0.0375
136,0.02895323634147644,0.05
144,0.02790745496749878,0.05
152,0.02664012312889099,0.025
160,0.027204626798629762,0.075
168,0.02704277038574219,0.025
176,0.027024495601654052,0.0
184,0.02790628671646118,0.0625
192,0.027555400133132936,0.025
200,0.027824586629867552,0.0875
208,0.02789505124092102,0.0375
216,0.028155869245529173,0.0125
224,0.02837105989456177,0.0625
232,0.028339242935180663,0.0625
240,0.027781200408935548,0.0375
248,0.028410696983337404,0.05
256,0.029269206523895263,0.0375
264,0.028778654336929322,0.05
272,0.028896641731262208,0.075
280,0.029355907440185548,0.0875
288,0.02986142635345459,0.0125
296,0.030532360076904297,0.05
304,0.030864244699478148,0.05
312,0.030427801609039306,0.0625
320,0.03028837442398071,0.0375
328,0.030307549238204955,0.1125
336,0.030397677421569826,0.025
344,0.030980902910232543,0.0625
352,0.030955016613006592,0.05
360,0.0317419707775116,0.1
368,0.03187791109085083,0.075
376,0.03188213109970093,0.05
384,0.032360655069351194,0.025
392,0.03155466318130493,0.0875
400,0.03188986778259277,0.05
408,0.03233346343040466,0.05
416,0.032172280550003055,0.0375
424,0.03228214979171753,0.0125
432,0.03265430331230164,0.0625
440,0.03205214142799377,0.0125
448,0.032798975706100464,0.0625
456,0.03302175998687744,0.05
464,0.03322538733482361,0.0375
472,0.03373861312866211,0.05
480,0.033525246381759646,0.0625
488,0.03438641428947449,0.025
496,0.0336830735206604,0.0625
504,0.03421417474746704,0.025
512,0.03461885452270508,0.05
520,0.034474515914916994,0.0625
528,0.03477832078933716,0.0375
536,0.035690444707870486,0.05
544,0.035377722978591916,0.075
552,0.03487842679023743,0.075
560,0.035097211599349976,0.0125
568,0.035318636894226076,0.05
576,0.03572567105293274,0.1
584,0.036012405157089235,0.075
592,0.04909403324127197,0.025
600,0.04117183089256286,0.0375
608,0.03619522452354431,0.0125
616,0.03567675948143005,0.0375
624,0.036336076259613034,0.0375
632,0.03643109202384949,0.0875
640,0.036488699913024905,0.0125
648,0.03774617314338684,0.0375
656,0.037600362300872804,0.0625
664,0.0376118004322052,0.0625
672,0.0377370536327362,0.0625
680,0.03750870823860168,0.05
688,0.038398522138595584,0.05
696,0.03759662508964538,0.0625
704,0.03766852021217346,0.0625
712,0.038153660297393796,0.0625
720,0.03786630630493164,0.05
728,0.03801151514053345,0.05
736,0.03827565908432007,0.05
744,0.038331139087677005,0.15
752,0.038418364524841306,0.05
760,0.03871285319328308,0.075
768,0.039133268594741824,0.0625
776,0.03997833728790283,0.05
784,0.040604394674301145,0.05
792,0.040024560689926145,0.0125
800,0.04013422727584839,0.0375
808,0.0403999388217926,0.075
816,0.040787231922149655,0.0625
824,0.03994093537330627,0.075
832,0.04027751088142395,0.0125
840,0.04041077494621277,0.1125
848,0.0405525803565979,0.025
856,0.040493357181549075,0.0375
864,0.0412007212638855,0.1125
872,0.0407758891582489,0.0375
880,0.042205828428268435,0.0
888,0.0420335590839386,0.075
896,0.0420033872127533,0.0375
904,0.04228118062019348,0.05
912,0.043037045001983645,0.025
920,0.042312872409820554,0.0375
928,0.04219162464141846,0.0375
936,0.042510432004928586,0.05
944,0.04283252954483032,0.0875
952,0.04245626926422119,0.05
960,0.04328208565711975,0.025
968,0.04305397868156433,0.025
976,0.04305961132049561,0.0375
984,0.043706965446472165,0.0375
992,0.043820279836654666,0.05
1000,0.04420197606086731,0.0375
1008,0.04302129149436951,0.05
1016,0.04416422843933106,0.0125
1024,0.04418371319770813,0.025
