n,# test_cases,ave_time(entire),ave_time(prepare)
1,4,0.010349583625793458,2.2667646408081055e-05
2,8,0.021834826469421385,7.719993591308594e-05
3,16,0.048468053340911865,0.00020529627799987794
4,32,0.10971196293830872,0.0005046308040618896
5,64,0.24358439445495605,0.0011658608913421632
6,128,0.5504827618598938,0.002621948719024658
