n,# test_cases,ave_time(entire),ave_time(prepare)
1,1,0.012508761882781983,0.00010026693344116211
2,1,0.013252878189086914,0.00010012388229370117
3,1,0.013401854038238525,0.00010012388229370117
4,1,0.013976311683654786,0.0
5,1,0.014101755619049073,0.00010012388229370117
6,1,0.014558792114257812,0.00020023584365844727
