n,# test_cases,ave_time(entire),ave_time(prepare)
1,10,0.011576521396636962,0.0001212334632873535
2,20,0.02654613256454468,0.00028787851333618165
3,40,0.05450151681900024,0.0006590867042541504
4,80,0.14471372604370117,0.0014905881881713868
5,160,0.32761479139328004,0.0032232022285461426
6,320,1.544595010280609,0.007522943019866943
