shots,ave_time,faults
8,0.225075086,0.0636875
16,0.221557956,0.1005
24,0.221878291,0.106875
32,0.226431729,0.1068125
40,0.224139577,0.105875
48,0.224564308,0.101875
56,0.226279396,0.1006875
64,0.226504677,0.0983125
72,0.226821191,0.106625
80,0.227216796,0.0998125
88,0.225040979,0.1008125
96,0.229314145,0.0985625
104,0.232948342,0.1001875
112,0.231910423,0.103125
120,0.232412374,0.1005625
128,0.233180603,0.1020625
136,0.232946728,0.1006875
144,0.231196969,0.1029375
152,0.23148303,0.0985
160,0.229821887,0.1030625
168,0.229579139,0.105125
176,0.230075992,0.1028125
184,0.228413653,0.1018125
192,0.231010986,0.1001875
200,0.232945251,0.10225
208,0.233510502,0.103
216,0.2337301,0.1011875
224,0.233397503,0.1050625
232,0.233520318,0.1
240,0.234069045,0.102625
248,0.234350124,0.1043125
256,0.23463501,0.1015
264,0.234717361,0.104625
272,0.234748343,0.10475
280,0.234366021,0.10075
288,0.235746686,0.101375
296,0.238495818,0.1036875
304,0.239498324,0.1006875
312,0.240290452,0.1014375
320,0.24063447,0.103875
328,0.240975645,0.100625
336,0.241530817,0.100875
344,0.240378988,0.102
352,0.238739634,0.099875
360,0.237793058,0.102625
368,0.239499378,0.10375
376,0.239065828,0.10625
384,0.239442251,0.098875
392,0.241620166,0.1020625
400,0.243197754,0.10325
408,0.236949976,0.103
416,0.238319981,0.099875
424,0.236681607,0.101625
432,0.238319947,0.1020625
440,0.238946023,0.0986875
448,0.239739787,0.1025
456,0.240275037,0.1024375
464,0.241478839,0.1034375
472,0.240239657,0.099625
480,0.241653684,0.1011875
488,0.23862157,0.102375
496,0.239723428,0.1015625
504,0.239381454,0.1005
512,0.2437531,0.1000625
520,0.243803451,0.1013125
528,0.244558211,0.1041875
536,0.246314696,0.10175
544,0.244465928,0.1
552,0.246199647,0.1015625
560,0.243414564,0.1019375
568,0.244139134,0.1015
576,0.243475685,0.1023125
584,0.244559695,0.1014375
592,0.244957347,0.1024375
600,0.24656943,0.103
608,0.244732595,0.101375
616,0.243351974,0.1016875
624,0.244134425,0.1016875
632,0.246897334,0.104
640,0.246193732,0.0984375
648,0.247251706,0.1
656,0.247199835,0.10275
664,0.252882064,0.1025
672,0.25187234,0.1030625
680,0.248597008,0.101125
688,0.246704857,0.10175
696,0.252467628,0.102375
704,0.250608906,0.1040625
712,0.249324557,0.1021875
720,0.250002235,0.1023125
728,0.25095637,0.1026875
736,0.25092967,0.1028125
744,0.251030492,0.103375
752,0.251097847,0.1025
760,0.25135238,0.1025625
768,0.251820017,0.1035
776,0.25313471,0.1034375
784,0.252603148,0.102125
792,0.254408876,0.1015
800,0.254869413,0.1018125
808,0.25533185,0.1015625
816,0.256236579,0.10275
824,0.256359133,0.1026875
832,0.255718919,0.1006875
840,0.254983948,0.102125
848,0.255933392,0.1016875
856,0.254362276,0.1020625
864,0.256293603,0.1005625
872,0.257844709,0.10575
880,0.256147689,0.1004375
888,0.257264315,0.10175
896,0.260240019,0.1036875
904,0.254769285,0.1049375
912,0.255677089,0.1036875
920,0.256499477,0.1
928,0.256016873,0.101125
936,0.257763066,0.1026875
944,0.255631776,0.1024375
952,0.255513156,0.102125
960,0.257503765,0.1033125
968,0.258800954,0.09975
976,0.258918429,0.1
984,0.259233406,0.1020625
992,0.261480192,0.10425
1000,0.260251094,0.103625
1008,0.261231859,0.099875
1016,0.259676849,0.1014375
1024,0.260194872,0.102875
