test_suite,mixed_pre_mode,# test_cases,# faults
T0,4,0.0625
T1,4,0.05
T2,4,0.0125
T3,4,0.0625
T4,2,0.025
T5,2,0.025
T6,2,0.025
T7,2,0.05
