test_suite,# test_cases,ave_fault
T0,44,0.2772727272727273
T1,44,0.27840909090909094
T2,44,0.28068181818181814
T3,44,0.27840909090909094
T4,22,0.2909090909090909
T5,22,0.28181818181818186
T6,22,0.2863636363636364
T7,22,0.2909090909090909
