test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,4,0.016319185495376587
T3,bits,4,0.015222465991973877
T0,qubits,4,0.015670257806777953
T3,qubits,4,0.015536493062973023
T1,bits,2,0.007933634519577026
T2,bits,2,0.008402901887893676
T4,bits,2,0.010533177852630615
T5,bits,2,0.022596639394760133
T1,qubits,2,0.006315678358078003
T2,qubits,2,0.006319493055343628
T4,qubits,2,0.008056288957595826
T5,qubits,2,0.016119927167892456
T6 sep,bits,4,0.02064017057418823
T6 sep,qubits,4,0.015954506397247315
T6 ent,bits,4,0.020572912693023682
T6 ent,qubits,4,0.013654959201812745
