test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,4,0.01658841371536255
T3,bits,4,0.01540481448173523
T0,qubits,4,0.0159837007522583
T3,qubits,4,0.0158117413520813
T1,bits,2,0.007948249578475952
T2,bits,2,0.008158707618713379
T4,bits,2,0.010628515481948852
T5,bits,2,0.023020076751708984
T1,qubits,2,0.006167888641357422
T2,qubits,2,0.006162619590759278
T4,qubits,2,0.007873666286468507
T5,qubits,2,0.01584072709083557
T6 sep,bits,4,0.020689159631729126
T6 sep,qubits,4,0.016108930110931396
T6 ent,bits,4,0.020614439249038698
T6 ent,qubits,4,0.013735395669937134
