test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,4,0.01595764756202698
T3,bits,4,0.01515020728111267
T0,qubits,4,0.015310537815093995
T3,qubits,4,0.015702468156814576
T1,bits,2,0.007746589183807373
T2,bits,2,0.007898169755935668
T4,bits,2,0.010287493467330933
T5,bits,2,0.023097461462020873
T1,qubits,2,0.006059318780899048
T2,qubits,2,0.006128323078155517
T4,qubits,2,0.007819616794586181
T5,qubits,2,0.015680283308029175
T6 sep,bits,4,0.020664894580841066
T6 sep,qubits,4,0.01592656970024109
T6 ent,bits,4,0.020598196983337404
T6 ent,qubits,4,0.013808387517929076
