test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,4,0.015480053424835206
T3,bits,4,0.015290242433547974
T0,qubits,4,0.015921497344970705
T3,qubits,4,0.015532445907592774
T1,bits,2,0.00800778865814209
T2,bits,2,0.008023583889007568
T4,bits,2,0.01064620614051819
T5,bits,2,0.022324299812316893
T1,qubits,2,0.006234103441238403
T2,qubits,2,0.006201010942459106
T4,qubits,2,0.007975471019744874
T5,qubits,2,0.016105997562408447
T6 sep,bits,4,0.020783978700637817
T6 sep,qubits,4,0.015882468223571776
T6 ent,bits,4,0.020325511693954468
T6 ent,qubits,4,0.013435238599777221
