test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,2,0.05716640949249267
T3,bits,2,0.03161160945892334
T0,qubits,2,0.03205890655517578
T3,qubits,2,0.03178870677947998
T1,bits,1,0.016356265544891356
T2,bits,1,0.016172909736633302
T4,bits,1,0.018063855171203614
T5,bits,1,0.03186237812042236
T1,qubits,1,0.010423398017883301
T2,qubits,1,0.008143270015716552
T4,qubits,1,0.009498393535614014
T5,qubits,1,0.017332839965820312
T6_sep,bits,2,0.04415984153747558
T6_sep,qubits,2,0.024446749687194826
T6_ent,bits,2,0.02950652837753296
T6_ent,qubits,2,0.018331730365753175
