test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,10,0.022398743629455566
T3,bits,10,0.021735339164733886
T0,qubits,10,0.02257607936859131
T3,qubits,10,0.02246281147003174
T1,bits,5,0.01316295385360718
T2,bits,5,0.01342616319656372
T4,bits,5,0.01591649532318115
T5,bits,5,0.029336283206939696
T1,qubits,5,0.00789968967437744
T2,qubits,5,0.008076376914978027
T4,qubits,5,0.009583189487457275
T5,qubits,5,0.017402274608612062
T6 sep,bits,10,0.030988950729370118
T6 sep,qubits,10,0.019998342990875245
T6 ent,bits,10,0.02515490293502808
T6 ent,qubits,10,0.015879287719726562
