test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,44,0.014230764454061334
T3,bits,44,0.014031815528869628
T0,qubits,44,0.014270339770750564
T3,qubits,44,0.014212300018830734
T1,bits,22,0.006959218870509755
T2,bits,22,0.0070370181040330364
T4,bits,22,0.009838590296831998
T5,bits,22,0.017986675825985995
T1,qubits,22,0.006090526689182628
T2,qubits,22,0.006186101111498745
T4,qubits,22,0.007810522209514272
T5,qubits,22,0.015488130937923084
T6 sep,bits,44,0.01825446649031206
T6 sep,qubits,44,0.01641732996160334
T6 ent,bits,44,0.015437806194478815
T6 ent,qubits,44,0.013522050055590543
