test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,44,0.013707176121798429
T3,bits,44,0.013691776990890503
T0,qubits,44,0.013616828484968705
T3,qubits,44,0.013783180713653564
T1,bits,22,0.006686130436983975
T2,bits,22,0.006709816239096901
T4,bits,22,0.009322263977744362
T5,bits,22,0.017815608869899403
T1,qubits,22,0.005843146280808882
T2,qubits,22,0.005956137722188776
T4,qubits,22,0.007648828354748813
T5,qubits,22,0.015278284658085218
T6 sep,bits,44,0.01864354447884993
T6 sep,qubits,44,0.015378279035741632
T6 ent,bits,44,0.015182281624187121
T6 ent,qubits,44,0.013029006936333395
