test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,162,0.02381009334399376
T3,bits,162,0.02379918216187277
T0,qubits,162,0.02426628816274949
T3,qubits,162,0.024262778258618015
T1,bits,81,0.012562287148134208
T2,bits,81,0.012699301301697155
T4,bits,81,0.01394373811321494
T5,bits,81,0.024634462668571944
T1,qubits,81,0.009981349809670154
T2,qubits,81,0.01010388606860314
T4,qubits,81,0.01092831352610647
T5,qubits,81,0.018851667127491513
T6 sep,bits,162,0.0355266554856006
T6 sep,qubits,162,0.02693207072622982
T6 ent,bits,162,0.03704159039038199
T6 ent,qubits,162,0.028156859197734314
