test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,162,0.023664376765121647
T3,bits,162,0.02389142527992343
T0,qubits,162,0.024197767987663363
T3,qubits,162,0.0240874265447075
T1,bits,81,0.012607655701813875
T2,bits,81,0.01269047083678069
T4,bits,81,0.014009854087123163
T5,bits,81,0.024657401773664687
T1,qubits,81,0.009982995339381842
T2,qubits,81,0.010103552135420435
T4,qubits,81,0.011021756537166642
T5,qubits,81,0.018937089119428468
T6 sep,bits,162,0.03365084359675278
T6 sep,qubits,162,0.025744612570162174
T6 ent,bits,162,0.037627491833251196
T6 ent,qubits,162,0.027662663253737084
