test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,162,0.025691613444575555
T3,bits,162,0.02563876575893826
T0,qubits,162,0.026009295310503174
T3,qubits,162,0.025759212911864858
T1,bits,81,0.01308401617003076
T2,bits,81,0.013284650555363408
T4,bits,81,0.014583059887827179
T5,bits,81,0.027765688778441627
T1,qubits,81,0.010246737062195201
T2,qubits,81,0.010383503819689338
T4,qubits,81,0.011270830660690496
T5,qubits,81,0.019208152647371645
T6 sep,bits,162,0.0403282951425623
T6 sep,qubits,162,0.026658055664580543
T6 ent,bits,162,0.042517891489429235
T6 ent,qubits,162,0.028904511163264146
